v / cm-1	unc / cm-1	State'	v'	J'	p'	State''	v''	J''	p''	Tag		
2245.6007	0.002	X1Sigma+	1	0	e	X1Sigma+	0	1	e	88PiOBKeBe.001		
2221.1747	0.002	X1Sigma+	1	1	e	X1Sigma+	0	2	e	88PiOBKeBe.002		
2195.975	0.002	X1Sigma+	1	2	e	X1Sigma+	0	3	e	88PiOBKeBe.003		
2170.0391	0.002	X1Sigma+	1	3	e	X1Sigma+	0	4	e	88PiOBKeBe.004		
2143.390	0.002	X1Sigma+	1	4	e	X1Sigma+	0	5	e	88PiOBKeBe.005		
2116.0647	0.002	X1Sigma+	1	5	e	X1Sigma+	0	6	e	88PiOBKeBe.006		
2088.0859	0.002	X1Sigma+	1	6	e	X1Sigma+	0	7	e	88PiOBKeBe.007		
2059.4945	0.002	X1Sigma+	1	7	e	X1Sigma+	0	8	e	88PiOBKeBe.008		
2030.3159	0.002	X1Sigma+	1	8	e	X1Sigma+	0	9	e	88PiOBKeBe.009		
2292.0226	0.002	X1Sigma+	1	1	e	X1Sigma+	0	0	e	88PiOBKeBe.010		
2313.9611	0.002	X1Sigma+	1	2	e	X1Sigma+	0	1	e	88PiOBKeBe.011		
2335.0148	0.002	X1Sigma+	1	3	e	X1Sigma+	0	2	e	88PiOBKeBe.012		
2355.1511	0.002	X1Sigma+	1	4	e	X1Sigma+	0	3	e	88PiOBKeBe.013		
2374.3478	0.002	X1Sigma+	1	5	e	X1Sigma+	0	4	e	88PiOBKeBe.014		
2392.5762	0.002	X1Sigma+	1	6	e	X1Sigma+	0	5	e	88PiOBKeBe.015		
2409.8158	0.002	X1Sigma+	1	7	e	X1Sigma+	0	6	e	88PiOBKeBe.016		
2426.0366	0.002	X1Sigma+	1	8	e	X1Sigma+	0	7	e	88PiOBKeBe.017		
2441.2194	0.002	X1Sigma+	1	9	e	X1Sigma+	0	8	e	88PiOBKeBe.018		
2455.3379	0.002	X1Sigma+	1	10	e	X1Sigma+	0	9	e	88PiOBKeBe.019		
2151.0131	0.002	X1Sigma+	2	0	e	X1Sigma+	1	1	e	88PiOBKeBe.020		
2127.4232	0.002	X1Sigma+	2	1	e	X1Sigma+	1	2	e	88PiOBKeBe.021		
2103.0828	0.002	X1Sigma+	2	2	e	X1Sigma+	1	3	e	88PiOBKeBe.022		
2078.0125	0.002	X1Sigma+	2	3	e	X1Sigma+	1	4	e	88PiOBKeBe.023		
2052.2411	0.002	X1Sigma+	2	4	e	X1Sigma+	1	5	e	88PiOBKeBe.024		
2025.8035	0.002	X1Sigma+	2	5	e	X1Sigma+	1	6	e	88PiOBKeBe.025		
1998.728	0.002	X1Sigma+	2	6	e	X1Sigma+	1	7	e	88PiOBKeBe.026		
2195.7896	0.002	X1Sigma+	2	1	e	X1Sigma+	1	0	e	88PiOBKeBe.027		
2216.9235	0.002	X1Sigma+	2	2	e	X1Sigma+	1	1	e	88PiOBKeBe.028		
2237.1874	0.002	X1Sigma+	2	3	e	X1Sigma+	1	2	e	88PiOBKeBe.029		
2256.5511	0.002	X1Sigma+	2	4	e	X1Sigma+	1	3	e	88PiOBKeBe.030		
2274.9894	0.002	X1Sigma+	2	5	e	X1Sigma+	1	4	e	88PiOBKeBe.031		
2292.4752	0.002	X1Sigma+	2	6	e	X1Sigma+	1	5	e	88PiOBKeBe.032		
2308.9905	0.002	X1Sigma+	2	7	e	X1Sigma+	1	6	e	88PiOBKeBe.033		
2324.4993	0.002	X1Sigma+	2	8	e	X1Sigma+	1	7	e	88PiOBKeBe.034		
2012.3338	0.002	X1Sigma+	3	2	e	X1Sigma+	2	3	e	88PiOBKeBe.035		
